name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,114,5,109,4.385964912280701,4.0650406504065035
IsNested,177,6,171,3.389830508474576,4.878048780487805
HasNestedMethods,235,17,218,7.234042553191489,13.821138211382115
HasFunctions,1056,56,1000,5.303030303030303,45.52845528455284
IsFunction,170,6,164,3.5294117647058822,4.878048780487805
HasFunctionParameters,335,21,314,6.26865671641791,17.073170731707318
HasHigherOrderCalls,832,55,777,6.610576923076923,44.71544715447154
HasFunctionCalls,232,16,216,6.896551724137931,13.008130081300814
HasCurrying,63,5,58,7.936507936507936,4.0650406504065035
HasPatternMatching,623,40,583,6.420545746388442,32.52032520325203
HasLazyValues,5,0,5,0.0,0.0
HasMultipleParameterLists,470,30,440,6.382978723404255,24.390243902439025
FunctionalScoreBool,1559,80,1479,5.131494547787043,65.04065040650406
HasVariables,145,18,127,12.413793103448276,14.634146341463413
HasVariableDefinitions,69,15,54,21.73913043478261,12.195121951219512
HasInnerVariableAssignment,119,22,97,18.487394957983195,17.88617886178862
HasOuterVariableUsage,88,5,83,5.681818181818182,4.0650406504065035
HasOuterVariableAssignment,24,1,23,4.166666666666666,0.8130081300813009
HasSideEffects,505,44,461,8.712871287128712,35.77235772357724
IsSideEffect,130,12,118,9.230769230769232,9.75609756097561
HasSideEffectCalls,256,40,216,15.625,32.52032520325203
HasSideEffectFunctions,48,12,36,25.0,9.75609756097561
ImperativeScoreBool,552,49,503,8.876811594202898,39.83739837398374
HasPointsBool,1708,92,1616,5.386416861826698,74.79674796747967
ParadigmScoreBool,1305,55,1250,4.21455938697318,44.71544715447154
